ts,o,h,l,c,v
2026-07-19T09:00:00Z,4031.62,4031.98,3984.3,4006.3665,0.007493
2026-07-19T10:00:00Z,4029.633,4029.633,3982.36,4006.2865,0.069167
2026-07-19T11:00:00Z,4030.563,4030.563,3981.1,4004.15,0.007721
2026-07-19T12:00:00Z,4027.5,4028.1,3979.3,4000.8125,0.021677
2026-07-19T13:00:00Z,4024.7,4028.4,3980.1,4004.7245,0.016211781
2026-07-19T14:00:00Z,4028.93,4031.02,3979.9,4007.27,0.026131
2026-07-19T15:00:00Z,4031.32,4031.335,3980.63,4005.99,0.00874
2026-07-19T16:00:00Z,4030.07,4030.07,3981.3,4004.6995,0.020928
2026-07-19T17:00:00Z,4029.1,4029.1,3980.5,4007.522,0.007856
2026-07-19T18:00:00Z,4031.4,4031.4,4007.4,4007.4,0.002227
2026-07-19T19:00:00Z,4031.1,4031.7,4007.25,4007.405,0.004619
2026-07-19T21:00:00Z,4005.53,4028.32,3980.36,4005.868,0.00958
2026-07-19T22:00:00Z,4001.015,4001.015,3967.36,3991.1155,0.00216
2026-07-19T23:00:00Z,3988.2615,4012.4,3964.232,3989.1275,0.01433994
2026-07-20T00:00:00Z,4012.9,4021.2,3968.1,4002.645,0.144496
2026-07-20T01:00:00Z,4004.1615,4031.5,3969.2,3998.74,0.267278
2026-07-20T02:00:00Z,4000.182,4032.72,3977.15,4017.4645,0.073812
2026-07-20T03:00:00Z,4015.6195,4043.2,3993.6,4017.4,0.117216
2026-07-20T04:00:00Z,4019.33,4043.08,3993.816,4013.85,0.011171
2026-07-20T05:00:00Z,4037.6,4037.6,3980.435,4004.125,0.021558
2026-07-20T06:00:00Z,4005.892,4028.6,3976.284,3998.55,0.016568
2026-07-20T07:00:00Z,4000.5495,4038.47,3976.24,4012.705,0.034414
2026-07-20T08:00:00Z,4014.44,4048.342,3991.3,4012.31,0.067147
2026-07-20T09:00:00Z,4010.813,4037.9,3986.97,4013.084,0.053795
2026-07-20T10:00:00Z,3989.411,4040.3,3988.828,4016.4055,0.014521
2026-07-20T11:00:00Z,4017.5615,4044.55,3994.2,4019.789,0.055749
2026-07-20T12:00:00Z,4017.645,4037.59,3978.899,4004.12,0.012841
2026-07-20T13:00:00Z,4006.403,4029.456,3979.5,4001.5805,0.01707179
2026-07-20T14:00:00Z,3998.95,4026.39,3976.784,4002.35,0.014541
2026-07-20T15:00:00Z,4004.24,4032.97,3984.9,4007.7355,0.086505
2026-07-20T16:00:00Z,4010.514,4029.895,3979.58,4004.1335,0.069035
2026-07-20T17:00:00Z,4005.32,4030.4,4000.25,4000.25,0.010197
2026-07-20T18:00:00Z,4002.4355,4006.017,3977.5,4003.025,0.001592
2026-07-20T19:00:00Z,4000.936,4027.92,4000.308,4003.88,0.002482
2026-07-20T20:00:00Z,4028.45,4028.45,4003.8155,4004.0,0.005251
2026-07-20T21:00:00Z,3980.4,4030.986,3980.4,4006.2055,0.019621
2026-07-20T22:00:00Z,3982.211,4027.55,3978.1,3997.655,0.043592
2026-07-20T23:00:00Z,3998.8615,4025.9,3977.05,4005.377,0.01626
2026-07-21T00:00:00Z,4003.55,4035.78,3977.7,4018.69,0.034615
2026-07-21T01:00:00Z,4015.91,4045.02,3998.106,4016.908,0.005534
2026-07-21T02:00:00Z,4040.835,4043.4,3995.669,4023.85,0.010831
2026-07-21T03:00:00Z,4024.765,4064.42,4010.4,4039.665,0.048818
2026-07-21T04:00:00Z,4041.68,4063.27,4012.8,4041.39,0.00985
2026-07-21T05:00:00Z,4017.53,4081.08,4017.53,4055.3965,0.021645
2026-07-21T06:00:00Z,4057.05,4088.1,4037.12,4073.0165,0.086478
2026-07-21T07:00:00Z,4070.825,4088.695,4037.238,4061.71,0.050925
2026-07-21T08:00:00Z,4059.545,4083.78,4032.702,4055.85,0.021128
2026-07-21T09:00:00Z,4058.576,4084.4,4031.656,4059.753,0.039273
2026-07-21T10:00:00Z,4057.825,4087.47,4036.48,4058.9535,0.00873
2026-07-21T11:00:00Z,4056.8625,4077.7,4025.345,4048.95,0.207783
2026-07-21T12:00:00Z,4052.805,4078.17,4021.7,4048.125,0.013877
2026-07-21T13:00:00Z,4049.944,4074.9,4019.2,4045.9905,0.011571
2026-07-21T14:00:00Z,4047.8,4085.0,4033.7,4060.755,0.036285
2026-07-21T15:00:00Z,4063.12,4099.07,4035.7,4064.0,0.112138
2026-07-21T16:00:00Z,4040.6,4091.963,4038.0,4063.6125,0.018195
2026-07-21T17:00:00Z,4087.325,4088.326,4038.2,4058.99,0.006658
2026-07-21T18:00:00Z,4061.1585,4100.3,4036.7,4073.943,0.004262458
2026-07-21T19:00:00Z,4049.7,4100.99,4049.7,4074.174,0.019754
2026-07-21T20:00:00Z,4077.195,4099.385,4046.2,4070.53,0.003489
2026-07-21T21:00:00Z,4067.295,4093.2,4042.9,4069.119,0.003186
2026-07-21T22:00:00Z,4070.6005,4094.7,4070.46,4070.46,0.001915
2026-07-21T23:00:00Z,4073.3975,4097.28,4072.705,4072.705,0.001196
2026-07-22T00:00:00Z,4070.025,4111.813,4059.45,4086.849,0.019209
2026-07-22T01:00:00Z,4089.3895,4134.576,4071.458,4111.077,0.019234214
2026-07-22T02:00:00Z,4108.485,4142.933,4086.3,4118.6105,0.141105
2026-07-22T03:00:00Z,4142.721,4153.52,4096.02,4120.1685,0.039664
2026-07-22T04:00:00Z,4117.8185,4142.876,4089.622,4114.095,0.009905
2026-07-22T05:00:00Z,4090.42,4147.0,4090.42,4120.75,0.05466666
2026-07-22T06:00:00Z,4121.3335,4146.347,4080.5,4104.7845,0.240804
2026-07-22T07:00:00Z,4080.3,4134.2,4080.3,4099.514,0.019135
2026-07-22T08:00:00Z,4101.592,4135.0,4079.85,4108.9,0.132297
2026-07-22T09:00:00Z,4133.8,4136.66,4080.661,4103.6525,0.10226
2026-07-22T10:00:00Z,4127.9,4134.72,4086.913,4107.29,0.042826
2026-07-22T11:00:00Z,4106.4295,4135.49,4083.996,4112.0,0.019053
2026-07-22T12:00:00Z,4114.3,4145.1,4084.361,4114.185,0.086465
2026-07-22T13:00:00Z,4114.86,4161.42,4088.127,4145.15,0.053277442
2026-07-22T14:00:00Z,4169.9,4174.55,4111.4,4139.409,0.286881377
2026-07-22T15:00:00Z,4140.5725,4175.7,4119.47,4171.2447178215,0.01891
2026-07-22T16:00:00Z,4170.5782178215,4171.8,4113.015,4138.0115,0.257731023
2026-07-22T17:00:00Z,4163.423,4163.423,4107.5,4133.335,0.01673
2026-07-22T18:00:00Z,4131.414,4156.228,4103.19,4129.5975,0.028925886
2026-07-22T19:00:00Z,4126.3155,4152.15,4098.536,4125.0475,0.026124
2026-07-22T20:00:00Z,4125.8605,4152.69,4100.38,4123.78,0.012955
2026-07-22T21:00:00Z,4147.96,4150.2,4100.112,4124.491,0.012562
2026-07-22T22:00:00Z,4122.35,4144.93,4095.253,4114.265,0.074605
2026-07-22T23:00:00Z,4112.1575,4148.641,4087.9,4124.521,0.013643
2026-07-23T00:00:00Z,4148.57,4148.6,4117.35,4122.65,0.024224
2026-07-23T01:00:00Z,4125.315,4154.87,4102.8,4108.733,0.004878
2026-07-23T02:00:00Z,4109.7925,4143.74,4081.69,4118.54,0.020217
2026-07-23T03:00:00Z,4142.77,4143.212,4095.8,4116.1255,0.032281
2026-07-23T04:00:00Z,4114.538,4143.691,4088.308,4111.4555,0.029643
2026-07-23T05:00:00Z,4087.6,4143.047,4087.6,4115.923,0.075695
2026-07-23T06:00:00Z,4117.6685,4140.51,4087.52,4111.85,0.088486
2026-07-23T07:00:00Z,4109.049,4126.47,4072.88,4085.45,0.040632
2026-07-23T08:00:00Z,4088.189,4108.06,4057.51,4086.237,0.007156
2026-07-23T09:00:00Z,4087.7,4108.4,4059.01,4082.2065,0.017556
2026-07-23T10:00:00Z,4057.313,4107.4,4055.4,4084.8915,0.06166
2026-07-23T11:00:00Z,4108.983,4109.642,4062.2,4077.4825,0.037719
2026-07-23T12:00:00Z,4075.869,4103.4,4044.624,4056.155,0.035605
2026-07-23T13:00:00Z,4055.1,4071.32,4013.23,4039.6305,0.036822673
2026-07-23T14:00:00Z,4041.6725,4075.821,4035.9,4053.575,0.011998
2026-07-23T15:00:00Z,4076.9,4076.9,4015.61,4042.482,0.091622
2026-07-23T16:00:00Z,4044.12,4045.2305,4018.56,4043.3,0.012089
2026-07-23T17:00:00Z,4047.1105,4060.37,4012.75,4036.9525,0.006292
2026-07-23T18:00:00Z,4060.776,4063.005,4014.14,4039.7425,0.011502
2026-07-23T19:00:00Z,4041.415,4067.72,4013.367,4043.95,0.024725
2026-07-23T20:00:00Z,4067.0,4068.073,4019.8,4044.83,0.012739
2026-07-23T21:00:00Z,4068.7,4069.07,4019.46,4044.75,0.030671
2026-07-23T22:00:00Z,4069.7,4069.7,4019.4,4044.525,0.037974
2026-07-23T23:00:00Z,4020.55,4066.74,4020.55,4044.4955,0.01164
2026-07-24T00:00:00Z,4041.005,4068.2,4015.316,4044.832,0.038936
2026-07-24T01:00:00Z,4019.804,4064.6,4012.8,4038.8,0.040893
2026-07-24T02:00:00Z,4040.0145,4066.5,3998.838,4018.172,0.026952208
2026-07-24T03:00:00Z,4041.6,4047.7,4000.747,4025.46,0.012188
2026-07-24T04:00:00Z,4048.72,4048.974,3999.6,4023.702,0.013463
2026-07-24T05:00:00Z,4047.12,4048.576,3995.16,4017.9105,0.015864
2026-07-24T06:00:00Z,4020.4985,4057.2,3997.748,4032.007,0.012447
2026-07-24T07:00:00Z,4056.65,4067.6,4022.89,4042.285,0.028017
2026-07-24T08:00:00Z,4039.182,4064.51,4013.7,4047.474,0.068351
